content,month_str,year_str,value
Acquisitions,1960-01,1960,1
Acquisitions,1966-11,1966,1
Acquisitions,1967-04,1967,1
Acquisitions,1972-01,1972,1
Acquisitions,1973-01,1973,1
Acquisitions,1977-01,1977,1
Acquisitions,1980-01,1980,1
Acquisitions,1981-01,1981,2
Acquisitions,1982-08,1982,1
Acquisitions,1984-06,1984,1
Acquisitions,1984-09,1984,1
Acquisitions,1986-01,1986,1
Acquisitions,1986-07,1986,1
Acquisitions,1987-06,1987,3
Acquisitions,1987-07,1987,1
Acquisitions,1988-01,1988,3
Acquisitions,1988-03,1988,1
Acquisitions,1988-06,1988,2
Acquisitions,1988-07,1988,1
Acquisitions,1988-12,1988,1
Acquisitions,1989-01,1989,2
Acquisitions,1989-04,1989,1
Acquisitions,1990-03,1990,2
Acquisitions,1990-06,1990,1
Acquisitions,1991-01,1991,3
Acquisitions,1991-03,1991,1
Acquisitions,1991-08,1991,2
Acquisitions,1991-12,1991,1
Acquisitions,1992-01,1992,2
Acquisitions,1992-03,1992,2
Acquisitions,1992-06,1992,1
Acquisitions,1992-10,1992,1
Acquisitions,1992-12,1992,1
Acquisitions,1993-02,1993,1
Acquisitions,1993-03,1993,2
Acquisitions,1993-05,1993,2
Acquisitions,1993-06,1993,1
Acquisitions,1993-07,1993,1
Acquisitions,1993-08,1993,1
Acquisitions,1993-09,1993,3
Acquisitions,1994-06,1994,1
Acquisitions,1994-07,1994,1
Acquisitions,1994-08,1994,4
Acquisitions,1994-09,1994,1
Acquisitions,1994-10,1994,2
Acquisitions,1994-11,1994,3
Acquisitions,1994-12,1994,4
Acquisitions,1995-01,1995,5
Acquisitions,1995-02,1995,1
Acquisitions,1995-04,1995,2
Acquisitions,1995-05,1995,1
Acquisitions,1995-07,1995,3
Acquisitions,1995-08,1995,3
Acquisitions,1995-09,1995,3
Acquisitions,1995-10,1995,3
Acquisitions,1995-11,1995,1
Acquisitions,1995-12,1995,2
Acquisitions,1996-01,1996,9
Acquisitions,1996-02,1996,2
Acquisitions,1996-03,1996,2
Acquisitions,1996-04,1996,6
Acquisitions,1996-05,1996,1
Acquisitions,1996-06,1996,4
Acquisitions,1996-07,1996,2
Acquisitions,1996-08,1996,4
Acquisitions,1996-09,1996,1
Acquisitions,1996-10,1996,1
Acquisitions,1996-11,1996,1
Acquisitions,1996-12,1996,2
Acquisitions,1997-01,1997,6
Acquisitions,1997-02,1997,1
Acquisitions,1997-03,1997,3
Acquisitions,1997-04,1997,3
Acquisitions,1997-06,1997,7
Acquisitions,1997-07,1997,4
Acquisitions,1997-08,1997,3
Acquisitions,1997-09,1997,5
Acquisitions,1997-10,1997,1
Acquisitions,1997-11,1997,3
Acquisitions,1997-12,1997,5
Acquisitions,1998-01,1998,7
Acquisitions,1998-02,1998,1
Acquisitions,1998-03,1998,4
Acquisitions,1998-04,1998,3
Acquisitions,1998-05,1998,1
Acquisitions,1998-06,1998,5
Acquisitions,1998-07,1998,4
Acquisitions,1998-08,1998,6
Acquisitions,1998-09,1998,5
Acquisitions,1998-10,1998,6
Acquisitions,1998-11,1998,2
Acquisitions,1998-12,1998,6
Acquisitions,1999-01,1999,11
Acquisitions,1999-02,1999,6
Acquisitions,1999-03,1999,7
Acquisitions,1999-04,1999,15
Acquisitions,1999-05,1999,8
Acquisitions,1999-06,1999,13
Acquisitions,1999-07,1999,8
Acquisitions,1999-08,1999,7
Acquisitions,1999-09,1999,11
Acquisitions,1999-10,1999,10
Acquisitions,1999-11,1999,8
Acquisitions,1999-12,1999,9
Acquisitions,2000-01,2000,20
Acquisitions,2000-02,2000,13
Acquisitions,2000-03,2000,16
Acquisitions,2000-04,2000,11
Acquisitions,2000-05,2000,5
Acquisitions,2000-06,2000,11
Acquisitions,2000-07,2000,7
Acquisitions,2000-08,2000,8
Acquisitions,2000-09,2000,9
Acquisitions,2000-10,2000,3
Acquisitions,2000-11,2000,4
Acquisitions,2000-12,2000,7
Acquisitions,2001-01,2001,13
Acquisitions,2001-02,2001,12
Acquisitions,2001-03,2001,11
Acquisitions,2001-04,2001,8
Acquisitions,2001-05,2001,7
Acquisitions,2001-06,2001,8
Acquisitions,2001-07,2001,9
Acquisitions,2001-08,2001,3
Acquisitions,2001-09,2001,7
Acquisitions,2001-10,2001,3
Acquisitions,2001-11,2001,3
Acquisitions,2001-12,2001,3
Acquisitions,2002-01,2002,15
Acquisitions,2002-02,2002,6
Acquisitions,2002-03,2002,4
Acquisitions,2002-04,2002,7
Acquisitions,2002-05,2002,8
Acquisitions,2002-06,2002,13
Acquisitions,2002-07,2002,9
Acquisitions,2002-08,2002,7
Acquisitions,2002-09,2002,12
Acquisitions,2002-10,2002,21
Acquisitions,2002-11,2002,8
Acquisitions,2002-12,2002,14
Acquisitions,2003-01,2003,26
Acquisitions,2003-02,2003,13
Acquisitions,2003-03,2003,8
Acquisitions,2003-04,2003,18
Acquisitions,2003-05,2003,12
Acquisitions,2003-06,2003,14
Acquisitions,2003-07,2003,30
